Time,ID,B0,B1,B2,B3,B4,B5,B6,B7
-1496624504.9287,078,55,29,80,10,00,00,00,00
-1496624504.92879,076,3E,38,C0,80,00,00,00,00
-1496624504.9288,077,00,00,08,01,7F,F7,E9,FD
-1496624504.9288,07D,00,2A,CD,80,17,BF,EF,FE
-1496624504.94258,078,00,28,00,10,00,00,00,00
-1496624504.94795,076,3E,3A,C0,80,00,00,00,00
-1496624504.9482,077,00,00,08,01,7F,F7,F1,FD
-1496624504.94845,07D,00,2A,CC,90,17,BF,EF,FE
-1496624504.96233,078,01,28,80,10,00,00,00,00
-1496624504.96796,076,3E,3B,C0,80,00,00,00,00
-1496624504.96821,077,00,00,08,01,7F,F7,F5,FE
-1496624504.96846,07D,00,2A,CB,A0,17,BF,EF,FE
-1496624504.98233,078,01,28,80,10,00,00,00,00
-1496624504.98809,076,3E,3D,C0,80,00,00,00,00
-1496624504.98833,077,00,00,08,01,7F,F7,E9,FD
-1496624504.98859,07D,00,2A,CA,B0,17,BF,EF,FE
-1496624505.00259,078,00,28,00,10,00,00,00,00
-1496624505.00799,076,3E,3E,C0,80,00,00,00,00
-1496624505.00821,077,00,00,08,00,7F,F7,E5,FF
-1496624505.00846,07D,00,2A,C9,C0,18,3F,EF,FE
-1496624505.02259,078,55,29,80,10,00,00,00,00
-1496624505.02809,076,3E,3F,C0,80,00,00,00,00
-1496624505.02834,077,00,00,08,01,7F,F7,ED,FE
-1496624505.0286,07D,00,2A,C8,D0,18,3F,EF,FE
-1496624505.04172,078,01,28,80,10,00,00,00,00
-1496624505.04886,076,3E,40,C0,80,00,00,00,00
-1496624505.04887,077,00,00,08,00,7F,F7,F9,FE
-1496624505.04888,07D,00,2A,C7,E0,18,3F,EF,FE
-1496624505.06259,078,00,28,00,10,00,00,00,00
-1496624505.06798,076,3E,41,C0,80,00,00,00,00
-1496624505.06822,077,00,00,08,00,7F,F7,F5,FF
-1496624505.06847,07D,00,2A,C6,F0,18,3F,EF,FE
-1496624505.08235,078,01,28,80,10,00,00,00,00
-1496624505.08809,076,3E,42,C0,80,00,00,00,00
-1496624505.08835,077,00,00,08,01,7F,F7,E1,FF
-1496624505.0886,07D,00,2A,D5,00,18,BF,EF,FE
-1496624505.10172,078,00,28,00,10,00,00,00,00
-1496624505.10866,076,3E,42,C0,80,00,00,00,00
-1496624505.10867,077,00,00,08,01,7F,F7,E9,FE
-1496624505.10871,07D,00,2A,D4,10,18,BF,EF,FE
-1496624505.1226,078,55,29,80,10,00,00,00,00
-1496624505.12985,076,3E,43,C0,80,00,00,00,00
-1496624505.12987,077,00,00,08,00,7F,F7,F1,FF
-1496624505.12988,07D,00,2A,D3,20,18,BF,EF,FE
-1496624505.14248,078,01,28,80,10,00,00,00,00
-1496624505.1481,076,3E,44,C0,80,00,00,00,00
-1496624505.14835,077,00,00,08,01,7F,F7,FD,FF
-1496624505.14861,07D,00,2A,D2,30,18,BF,EF,FE
-1496624505.16273,078,00,28,00,10,00,00,00,00
-1496624505.16836,076,3E,45,C0,80,00,00,00,00
-1496624505.16838,077,00,00,08,01,7F,F7,F1,FD
-1496624505.16839,07D,00,2A,D1,40,18,BF,EF,FE
-1496624505.18198,078,01,28,80,10,00,00,00,00
-1496624505.18911,076,3E,45,C0,80,00,00,00,00
-1496624505.18913,077,00,00,08,00,7F,F7,E5,FD
-1496624505.18914,07D,00,2A,D0,50,18,BF,EF,FE
-1496624505.20261,078,01,28,80,10,00,00,00,00
-1496624505.20788,076,3E,46,C0,80,00,00,00,00
-1496624505.20824,077,00,00,08,00,7F,F7,ED,FE
-1496624505.20836,07D,00,2A,CF,60,18,BF,EF,FE
-1496624505.22161,078,54,29,00,10,00,00,00,00
-1496624505.22812,076,3E,47,C0,80,00,00,00,00
-1496624505.22836,077,00,00,07,FE,7F,F7,F5,FE
-1496624505.22862,07D,00,2A,CE,70,18,BF,EF,FE
-1496624505.24162,078,01,28,80,10,00,00,00,00
-1496624505.24874,076,3E,47,C0,80,00,00,00,00
-1496624505.24876,077,00,00,08,00,7F,F7,ED,FE
-1496624505.24877,07D,00,2A,CD,80,18,BF,EF,FE
-1496624505.26274,078,01,28,80,10,00,00,00,00
-1496624505.26825,076,3E,48,C0,80,00,00,00,00
-1496624505.26827,077,00,00,08,00,7F,F7,E2,00
-1496624505.26837,07D,00,2A,CC,90,18,BF,EF,FE
-1496624505.28275,078,00,28,00,10,00,00,00,00
-1496624505.28876,076,3E,48,C0,80,00,00,00,00
-1496624505.28877,077,00,00,08,00,7F,F7,E9,FE
-1496624505.28878,07D,00,2A,CB,A0,18,BF,EF,FE
-1496624505.30175,078,01,28,80,10,00,00,00,00
-1496624505.30827,076,3E,49,C0,80,00,00,00,00
-1496624505.30837,077,00,00,08,00,7F,F7,F9,FD
-1496624505.30864,07D,00,2A,CA,B0,18,BF,EF,FE
-1496624505.32163,078,55,29,80,10,00,00,00,00
-1496624505.328,076,3E,49,C0,80,00,00,00,00
-1496624505.32825,077,00,00,08,00,7F,F7,F1,FF
-1496624505.3285,07D,00,2A,C9,C0,18,BF,EF,FE
-1496624505.34163,078,00,28,00,10,00,00,00,00
-1496624505.34816,076,3E,49,C0,80,00,00,00,00
-1496624505.34838,077,00,00,08,00,7F,F7,ED,FE
-1496624505.34863,07D,00,2A,C8,D0,18,BF,EF,FE
-1496624505.36163,078,03,28,80,10,00,00,00,00
-1496624505.36901,076,3E,49,C0,80,00,00,00,00
-1496624505.36902,077,00,00,08,00,7F,F7,E5,FD
-1496624505.36903,07D,00,2A,C7,E0,18,BF,EF,FE
-1496624505.38188,078,01,28,80,10,00,00,00,00
-1496624505.3889,076,3E,49,C0,80,00,00,00,00
-1496624505.38914,077,00,00,08,01,7F,F7,F5,FC
-1496624505.38915,07D,00,2A,C6,F0,18,BF,EF,FE
-1496624505.40164,078,00,28,00,10,00,00,00,00
-1496624505.40889,076,3E,4A,C0,80,00,00,00,00
-1496624505.40914,077,00,00,08,00,7F,F7,F5,FC
-1496624505.40916,07D,00,2A,D5,00,18,BF,EF,FE
-1496624505.42189,078,55,29,80,10,00,00,00,00
-1496624505.42789,076,3E,4A,C0,80,00,00,00,00
-1496624505.42814,077,00,00,08,00,7F,F7,F1,FE
-1496624505.42839,07D,00,2A,D4,10,18,BF,EF,FE
-1496624505.44164,078,01,28,80,10,00,00,00,00
-1496624505.44879,076,3E,4A,C0,80,00,00,00,00
-1496624505.4488,077,00,00,08,00,7F,F7,ED,FE
-1496624505.44881,07D,00,2A,D3,20,18,BF,EF,FE
-1496624505.46177,078,00,28,00,10,00,00,00,00
-1496624505.46858,076,3E,4A,C0,80,00,00,00,00
-1496624505.46859,077,00,00,08,00,7F,F7,E9,FD
-1496624505.46864,07D,00,2A,D2,30,18,BF,EF,FE
-1496624505.48227,078,01,28,80,10,00,00,00,00
-1496624505.4879,076,3E,4A,C0,80,00,00,00,00
-1496624505.48814,077,00,00,08,01,7F,F7,F9,FC
-1496624505.4884,07D,00,2A,D1,40,18,BF,EF,FE
-1496624505.50264,078,01,28,80,10,00,00,00,00
-1496624505.50802,076,3E,4A,C0,80,00,00,00,00
-1496624505.50814,077,00,00,07,FF,7F,F7,ED,FF
-1496624505.50839,07D,00,2A,D0,50,18,BF,EF,FE
-1496624505.52215,078,54,29,00,10,00,00,00,00
-1496624505.52878,076,3E,4B,C0,80,00,00,00,00
-1496624505.52879,077,00,00,07,FE,7F,F7,E9,FF
-1496624505.5288,07D,00,2A,CF,60,18,BF,EF,FE
-1496624505.54165,078,01,28,80,10,00,00,00,00
-1496624505.5489,076,3E,4B,C0,80,00,00,00,00
-1496624505.54892,077,00,00,08,00,7F,F7,E9,FD
-1496624505.54893,07D,00,2A,CE,70,18,BF,EF,FE
-1496624505.56153,078,01,28,80,10,00,00,00,00
-1496624505.5683,076,3E,4B,C0,80,00,00,00,00
-1496624505.56831,077,00,00,08,00,7F,F7,F5,FE
-1496624505.56841,07D,00,23,D4,80,18,BF,EF,FE
-1496624505.58216,078,00,28,00,10,00,00,00,00
-1496624505.58816,076,3E,4B,C0,80,00,00,00,00
-1496624505.58856,077,00,00,08,00,7F,F7,F9,FD
-1496624505.58866,07D,00,19,DD,90,18,BF,EF,FE
-1496624505.60228,078,01,28,80,10,00,00,00,00
-1496624505.60803,076,3E,4B,C0,80,00,00,00,00
-1496624505.60816,077,00,00,08,00,7F,F7,ED,FD
-1496624505.60841,07D,00,11,E4,A0,18,BF,EF,FE
-1496624505.62204,078,55,29,80,10,00,00,00,00
-1496624505.62816,076,3E,4B,C0,80,00,00,00,00
-1496624505.62841,077,00,00,08,00,7F,F7,E1,FE
-1496624505.62866,07D,00,0D,E7,B0,18,BF,EF,FE
-1496624505.64169,078,00,28,00,10,00,00,00,00
-1496624505.64879,076,3E,4B,C0,80,00,00,00,00
-1496624505.6488,077,00,00,08,01,7F,F7,F1,FE
-1496624505.64881,07D,00,0A,E9,C0,18,BF,EF,FE
-1496624505.66154,078,01,28,80,10,00,00,00,00
-1496624505.66829,076,3E,4B,C0,80,00,00,00,00
-1496624505.66831,077,00,00,08,00,7F,F7,F9,FC
