Time,ID,B0,B1,B2,B3,B4,B5,B6,B7
-1496624504.9287,078,55,29,80,10,00,00,00,00
-1496624504.92874,422,00,00,00,8E,3C,12,FF,00
-1496624504.92875,423,AB,A0,00,00,00,00,00,00
-1496624504.92875,430,37,01,58,34,C8,79,77,00
-1496624504.92876,167,72,80,40,09,FF,E0,00,00
-1496624504.92877,165,20,C3,4B,00,10,00,00,00
-1496624504.92878,200,02,96,80,00,80,6A,0B,0A
-1496624504.92879,076,3E,38,C0,80,00,00,00,00
-1496624504.9288,077,00,00,08,01,7F,F7,E9,FD
-1496624504.9288,07D,00,2A,CD,80,17,BF,EF,FE
-1496624504.92881,082,7E,08,94,08,A9,80,40,00
-1496624504.92895,085,7C,32,80,00,51,60,7C,7E
-1496624504.9292,091,FF,FE,7F,03,BD,C0,30,00
-1496624504.92945,092,6F,AE,6F,8C,0F,A0,32,C0
-1496624504.9297,202,0C,F1,5A,72,62,EE,00,00
-1496624504.92997,204,EC,00,7D,02,42,F1,12,15
-1496624504.9302,213,FF,FF,08,04,00,01,FF,40
-1496624504.93045,214,80,00,00,00,00,00,77,80
-1496624504.93069,216,C0,1F,98,12,82,00,03,25
-1496624504.93094,217,00,00,00,00,00,00,00,00
-1496624504.9312,230,00,02,00,00,00,00,00,00
-1496624504.93145,25C,01,ED,06,52,24,18,82,5C
-1496624504.93158,3CC,80,00,00,00,00,00,00,00
-1496624504.93195,415,00,1D,F4,D2,0F,FF,0F,FF
-1496624504.93207,4B0,A3,00,00,00,80,01,50,CD
-1496624504.9347,186,14,04,01,F4,00,ED,04,00
-1496624504.93482,187,E0,14,08,00,00,30,00,00
-1496624504.9377,047,20,00,00,00,00,00,00,00
-1496624504.93771,167,72,80,40,09,FF,E0,00,00
-1496624504.93772,202,0C,F0,62,72,62,EE,00,00
-1496624504.93772,204,F0,00,7D,02,42,F0,12,15
-1496624504.93795,217,00,00,00,00,00,00,00,00
-1496624504.9382,25C,01,F4,06,4D,24,18,82,5C
-1496624504.93982,085,7C,32,80,00,51,70,7C,7D
-1496624504.93983,091,FF,FE,7F,03,BC,C1,30,00
-1496624504.93984,092,6F,A8,6F,88,0F,A0,3B,C1
-1496624504.93985,3A8,E0,00,A6,D5,00,00,00,00
-1496624504.94121,3CA,FF,80,08,00,00,00,00,00
-1496624504.94258,078,00,28,00,10,00,00,00,00
-1496624504.94783,167,72,80,40,09,FF,E0,00,00
-1496624504.94784,165,20,C3,4B,00,10,00,00,00
-1496624504.94795,076,3E,3A,C0,80,00,00,00,00
-1496624504.9482,077,00,00,08,01,7F,F7,F1,FD
-1496624504.94845,07D,00,2A,CC,90,17,BF,EF,FE
-1496624504.94864,200,02,96,80,00,80,6A,0D,08
-1496624504.94883,082,7E,08,94,0C,A9,80,40,00
-1496624504.94907,085,7C,33,80,00,4F,80,7C,7D
-1496624504.94933,091,FF,FE,7F,02,BC,C2,30,00
-1496624504.94957,092,6F,B0,6F,85,0F,A0,35,C2
-1496624504.94982,202,0C,EF,6A,72,64,EE,00,00
-1496624504.95007,204,F4,00,7D,02,42,EF,12,0A
-1496624504.95032,213,FF,FF,08,04,00,01,FF,40
-1496624504.95057,214,80,00,00,00,00,00,76,90
-1496624504.95082,216,C0,21,98,12,82,00,04,46
-1496624504.95108,217,00,00,00,00,00,00,00,00
-1496624504.95132,230,00,02,00,00,00,00,00,00
-1496624504.95157,415,00,1D,F8,D1,0F,FF,0F,FF
-1496624504.9517,4B0,A3,00,00,00,90,01,50,CC
-1496624504.95307,25C,01,FC,06,52,24,18,82,5C
-1496624504.9557,186,14,04,01,F4,00,ED,04,00
-1496624504.95583,187,E0,14,08,00,00,30,00,00
-1496624504.95585,242,00,EB,20,0D,E8,00,00,01
-1496624504.95595,3B3,40,48,00,12,10,05,00,02
-1496624504.95733,047,20,00,00,00,00,00,00,00
-1496624504.95746,167,72,80,41,09,FF,E0,00,00
-1496624504.95747,202,0C,EE,72,72,64,EE,00,00
-1496624504.95758,204,F8,00,7D,02,42,EE,12,05
-1496624504.95896,217,00,00,00,00,00,00,00,00
-1496624504.95921,25C,01,F6,06,4D,24,18,82,5C
-1496624504.95922,085,7C,34,80,00,4C,90,7C,7E
-1496624504.95924,3CC,80,00,00,00,00,00,00,00
-1496624504.95925,091,FF,FE,7F,03,BA,C3,30,00
-1496624504.95933,092,6F,A5,6F,86,0F,A0,3E,C3
-1496624504.96083,3A8,E0,00,A6,D5,00,00,00,00
-1496624504.96233,078,01,28,80,10,00,00,00,00
-1496624504.96496,42C,88,00,00,00,54,A0,00,00
-1496624504.96771,167,72,80,40,09,FF,E0,00,00
-1496624504.96772,165,20,C3,4B,00,10,00,00,00
-1496624504.96796,076,3E,3B,C0,80,00,00,00,00
-1496624504.96821,077,00,00,08,01,7F,F7,F5,FE
-1496624504.96846,07D,00,2A,CB,A0,17,BF,EF,FE
-1496624504.96859,200,02,96,80,00,80,6A,0F,06
-1496624504.96883,082,7E,08,94,0C,A9,80,40,00
-1496624504.9692,04A,02,00,00,18,00,00,00,00
-1496624504.96933,04B,00,00,18,D8,C0,18,C0,00
-1496624504.96958,04C,20,6B,BF,00,00,00,00,00
-1496624504.96983,085,7C,34,80,00,4C,A0,7C,7D
-1496624504.97008,091,FF,FE,7F,03,B9,C4,30,00
-1496624504.97033,092,6F,A5,6F,85,0F,A0,3E,C4
-1496624504.97058,202,0C,ED,7A,72,66,EE,00,00
-1496624504.97083,204,FC,00,7D,02,41,ED,12,05
-1496624504.97108,213,FF,FF,08,04,00,01,FF,40
-1496624504.97133,214,80,00,00,00,00,00,75,A0
-1496624504.97158,216,C0,21,98,12,82,00,05,47
-1496624504.97183,217,00,00,00,00,00,00,00,00
-1496624504.97208,230,00,02,00,00,00,00,00,00
-1496624504.97233,25C,01,EE,06,50,24,18,82,5C
-1496624504.97258,083,00,20,00,00,00,00,00,00
